Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2024,ATL,1,2023-10-25,0,CHO,L,110,116,39,93,.419,5,29,.172,27,33,.818,12,42,24,12,1,12,19,43,86,.500,11,37,.297,19,26,.731,12,51,34,5,3,19,21
2024,ATL,2,2023-10-27,1,NYK,L,120,126,42,87,.483,12,32,.375,24,30,.800,9,44,28,7,6,14,20,43,90,.478,20,44,.455,20,28,.714,12,45,30,9,6,16,21
2024,ATL,3,2023-10-29,0,MIL,W,127,110,47,93,.505,15,37,.405,18,22,.818,13,46,32,15,2,17,17,39,86,.453,16,44,.364,16,20,.800,12,39,22,10,3,23,22
2024,ATL,4,2023-10-30,1,MIN,W,127,113,48,86,.558,14,30,.467,17,18,.944,4,36,28,6,7,11,12,44,90,.489,16,33,.485,9,15,.600,10,38,24,5,5,14,17
2024,ATL,5,2023-11-01,1,WAS,W,130,121,46,92,.500,9,32,.281,29,32,.906,14,57,26,8,3,21,16,51,101,.505,10,40,.250,9,14,.643,6,35,32,14,3,11,25
2024,ATL,6,2023-11-04,0,NOP,W,123,105,45,93,.484,14,41,.341,19,24,.792,19,52,28,4,6,13,16,40,84,.476,8,31,.258,17,21,.810,9,35,24,9,7,11,15
2024,ATL,7,2023-11-06,0,OKC,L,117,126,38,102,.373,14,42,.333,27,32,.844,25,59,27,8,3,15,16,45,94,.479,14,35,.400,22,23,.957,11,49,27,7,7,13,22
2024,ATL,8,2023-11-09,0,ORL,W,120,119,41,85,.482,15,39,.385,23,30,.767,8,36,22,13,7,18,25,42,90,.467,10,27,.370,25,35,.714,18,47,19,12,6,19,24
2024,ATL,9,2023-11-11,1,MIA,L,109,117,38,87,.437,18,46,.391,15,18,.833,15,48,23,6,6,22,19,41,84,.488,12,38,.316,23,25,.920,7,39,23,10,4,15,14
2024,ATL,10,2023-11-14,0,DET,W,126,120,45,87,.517,12,33,.364,24,26,.923,10,41,28,9,7,14,19,47,90,.522,10,29,.345,16,23,.696,14,42,36,9,6,17,20
2024,ATL,11,2023-11-15,1,NYK,L,114,116,41,75,.547,12,31,.387,20,26,.769,6,30,28,11,6,15,20,45,94,.479,16,34,.471,10,11,.909,14,42,29,9,2,17,20
2024,ATL,12,2023-11-17,1,PHI,L,116,126,40,89,.449,12,33,.364,24,30,.800,14,39,24,8,4,13,20,43,88,.489,13,30,.433,27,28,.964,13,43,32,9,4,17,20
2024,ATL,13,2023-11-21,1,IND,L,152,157,57,95,.600,15,31,.484,23,28,.821,12,39,28,8,4,15,23,57,94,.606,22,45,.489,21,28,.750,7,29,35,7,11,14,25
2024,ATL,14,2023-11-22,1,BRK,W,147,145,51,116,.440,18,49,.367,27,29,.931,22,58,24,10,8,14,18,55,113,.487,15,35,.429,20,24,.833,22,59,28,8,6,16,24
2024,ATL,15,2023-11-25,0,WAS,W,136,108,52,102,.510,18,37,.486,14,20,.700,17,49,29,13,2,10,15,43,88,.489,10,38,.263,12,12,1.000,8,41,33,5,6,20,17
2024,ATL,16,2023-11-26,0,BOS,L,103,113,36,88,.409,19,53,.358,12,19,.632,11,43,15,5,4,16,17,42,95,.442,13,47,.277,16,20,.800,18,58,24,9,3,13,19
2024,ATL,17,2023-11-28,0,CLE,L,105,128,35,101,.347,13,44,.295,22,24,.917,14,44,21,9,3,11,16,50,93,.538,13,36,.361,15,17,.882,12,55,27,8,12,17,20
2024,ATL,18,2023-11-30,0,SAS,W,137,135,49,96,.510,14,33,.424,25,29,.862,8,37,24,14,2,10,25,48,89,.539,18,41,.439,21,23,.913,11,47,34,4,7,21,22
2024,ATL,19,2023-12-02,0,MIL,L,121,132,45,101,.446,15,38,.395,16,21,.762,15,40,23,11,4,11,14,53,89,.596,14,33,.424,12,15,.800,8,44,33,5,6,16,19
2024,ATL,20,2023-12-06,1,BRK,L,113,114,42,94,.447,12,35,.343,17,18,.944,11,49,25,5,4,13,23,43,94,.457,11,27,.407,17,24,.708,12,45,24,7,6,12,19
2024,ATL,21,2023-12-08,0,PHI,L,114,125,41,104,.394,13,39,.333,19,21,.905,23,55,20,3,4,14,23,42,87,.483,11,30,.367,30,37,.811,14,48,24,6,8,11,14
2024,ATL,22,2023-12-11,1,DEN,L,122,129,44,96,.458,17,44,.386,17,18,.944,13,35,25,9,2,10,21,47,88,.534,12,29,.414,23,29,.793,14,49,29,9,8,16,19
2024,ATL,23,2023-12-13,0,TOR,L,128,135,48,100,.480,18,41,.439,14,19,.737,13,42,32,9,8,7,18,50,87,.575,18,34,.529,17,24,.708,9,47,39,3,9,15,18
2024,ATL,24,2023-12-15,0,TOR,W,125,104,52,101,.515,16,41,.390,5,6,.833,16,55,34,4,4,14,19,40,77,.519,10,31,.323,14,25,.560,3,32,30,8,6,14,19
2024,ATL,25,2023-12-16,0,CLE,L,119,127,41,85,.482,15,36,.417,22,25,.880,6,34,21,5,4,11,21,49,101,.485,16,42,.381,13,15,.867,18,49,32,8,3,11,22
2024,ATL,26,2023-12-18,1,DET,W,130,124,46,85,.541,16,36,.444,22,27,.815,11,40,25,6,10,18,24,48,94,.511,9,22,.409,19,27,.704,12,36,23,7,3,13,26
2024,ATL,27,2023-12-20,0,HOU,W,134,127,47,91,.516,17,40,.425,23,28,.821,12,44,31,4,3,12,18,44,89,.494,16,34,.471,23,23,1.000,8,37,25,4,6,9,23
2024,ATL,28,2023-12-22,0,MIA,L,113,122,42,96,.438,19,54,.352,10,14,.714,12,43,29,9,2,14,23,40,86,.465,17,39,.436,25,30,.833,12,48,21,7,2,17,18
2024,ATL,29,2023-12-23,1,MEM,L,119,125,45,96,.469,13,43,.302,16,20,.800,13,41,28,8,5,11,22,50,97,.515,11,33,.333,14,22,.636,15,51,29,6,7,12,16
2024,ATL,30,2023-12-26,0,CHI,L,113,118,41,89,.461,13,45,.289,18,21,.857,12,40,24,6,3,16,21,42,92,.457,7,25,.280,27,31,.871,18,48,23,10,2,10,17
2024,ATL,31,2023-12-29,1,SAC,L,110,117,37,94,.394,15,43,.349,21,25,.840,18,51,29,9,4,15,16,46,89,.517,17,45,.378,8,15,.533,5,38,35,9,3,12,20
2024,ATL,32,2023-12-31,0,WAS,W,130,126,47,95,.495,12,32,.375,24,37,.649,12,58,27,5,3,12,18,46,98,.469,17,53,.321,17,21,.810,6,42,35,5,9,9,21
2024,ATL,33,2024-01-03,1,OKC,W,141,138,48,95,.505,14,39,.359,31,33,.939,15,49,30,8,5,13,21,50,91,.549,18,36,.500,20,26,.769,9,37,30,10,1,13,23
2024,ATL,34,2024-01-05,0,IND,L,116,150,40,93,.430,10,42,.238,26,30,.867,14,39,21,6,3,14,11,60,94,.638,19,39,.487,11,13,.846,8,39,50,12,3,16,24
2024,ATL,35,2024-01-07,0,ORL,L,110,117,42,91,.462,9,30,.300,17,29,.586,8,50,21,9,10,13,23,43,98,.439,17,41,.415,14,22,.636,13,57,25,8,3,13,24
2024,ATL,36,2024-01-10,1,PHI,W,139,132,48,102,.471,12,34,.353,31,42,.738,16,55,32,6,8,13,21,46,102,.451,12,34,.353,28,33,.848,13,51,26,8,9,11,28
2024,ATL,37,2024-01-12,1,IND,L,108,126,40,89,.449,11,30,.367,17,23,.739,12,28,25,14,2,15,13,53,79,.671,11,18,.611,9,12,.750,10,45,41,12,9,27,21
2024,ATL,38,2024-01-13,1,WAS,L,99,127,32,93,.344,11,40,.275,24,33,.727,16,50,21,9,7,16,20,47,97,.485,12,32,.375,21,26,.808,12,54,32,10,9,12,22
2024,ATL,39,2024-01-15,1,SAS,W,109,99,40,93,.430,13,38,.342,16,21,.762,13,57,24,8,6,20,19,38,95,.400,11,42,.262,12,17,.706,9,44,27,10,8,18,18
2024,ATL,40,2024-01-17,1,ORL,W,106,104,39,76,.513,8,25,.320,20,22,.909,10,41,21,8,2,23,17,39,88,.443,10,35,.286,16,22,.727,16,40,18,16,8,13,22
2024,ATL,41,2024-01-19,0,MIA,W,109,108,40,87,.460,15,35,.429,14,17,.824,9,38,23,6,2,15,20,38,82,.463,12,31,.387,20,22,.909,13,44,21,7,2,18,17
2024,ATL,42,2024-01-20,1,CLE,L,95,116,37,93,.398,11,38,.289,10,15,.667,11,45,25,5,4,11,15,43,85,.506,16,43,.372,14,16,.875,4,49,32,7,6,14,16
2024,ATL,43,2024-01-22,0,SAC,L,107,122,36,93,.387,14,40,.350,21,27,.778,13,50,19,2,7,12,19,43,93,.462,12,38,.316,24,27,.889,10,51,22,8,2,9,21
2024,ATL,44,2024-01-24,0,GSW,L,112,134,39,94,.415,14,43,.326,20,26,.769,13,45,30,7,2,11,16,51,91,.560,16,33,.485,16,22,.727,11,49,26,6,9,10,18
2024,ATL,45,2024-01-26,1,DAL,L,143,148,51,97,.526,15,34,.441,26,30,.867,12,36,32,7,2,7,24,51,85,.600,19,35,.543,27,32,.844,6,37,28,3,5,13,25
2024,ATL,46,2024-01-28,1,TOR,W,126,125,44,95,.463,6,27,.222,32,40,.800,20,51,27,7,4,14,21,41,89,.461,15,31,.484,28,32,.875,15,46,29,12,3,14,30
2024,ATL,47,2024-01-30,1,LAL,W,138,122,53,101,.525,16,38,.421,16,18,.889,12,46,32,10,2,12,18,48,90,.533,12,33,.364,14,25,.560,7,37,28,12,3,14,16
2024,ATL,48,2024-02-02,1,PHO,W,129,120,49,95,.516,17,44,.386,14,18,.778,12,43,29,7,4,10,13,47,88,.534,14,37,.378,12,14,.857,8,38,31,6,5,17,17
2024,ATL,49,2024-02-03,1,GSW,W,141,134,55,114,.482,14,43,.326,17,22,.773,16,57,27,5,4,8,20,50,112,.446,18,56,.321,16,20,.800,14,57,26,4,7,14,23
2024,ATL,50,2024-02-05,1,LAC,L,144,149,51,95,.537,20,39,.513,22,27,.815,13,39,35,5,4,11,22,52,89,.584,21,35,.600,24,31,.774,8,36,32,8,5,8,19
2024,ATL,51,2024-02-07,0,BOS,L,117,125,43,102,.422,13,41,.317,18,20,.900,13,49,24,8,2,9,13,49,93,.527,17,49,.347,10,11,.909,6,45,33,6,9,14,16
2024,ATL,52,2024-02-09,0,PHI,W,127,121,42,81,.519,16,36,.444,27,33,.818,9,40,31,4,9,13,19,42,98,.429,15,45,.333,22,29,.759,18,49,24,7,6,10,24
2024,ATL,53,2024-02-10,1,HOU,W,122,113,40,88,.455,14,41,.341,28,37,.757,9,41,25,7,8,11,18,44,100,.440,13,43,.302,12,19,.632,16,58,22,6,6,17,26
2024,ATL,54,2024-02-12,1,CHI,L,126,136,44,94,.468,14,43,.326,24,29,.828,15,49,33,4,3,12,20,51,92,.554,13,28,.464,21,29,.724,7,43,29,6,2,6,22
2024,ATL,55,2024-02-14,0,CHO,L,99,122,36,89,.404,9,38,.237,18,20,.900,15,45,23,5,6,16,20,44,89,.494,15,37,.405,19,20,.950,12,46,27,7,4,13,18
2024,ATL,56,2024-02-23,1,TOR,L,121,123,46,106,.434,12,39,.308,17,24,.708,20,54,27,5,4,9,11,50,102,.490,15,39,.385,8,8,1.000,11,47,37,3,7,12,20
2024,ATL,57,2024-02-25,1,ORL,W,109,92,41,90,.456,12,29,.414,15,17,.882,9,44,31,10,3,10,17,35,84,.417,14,38,.368,8,18,.444,14,51,23,7,9,20,19
2024,ATL,58,2024-02-27,1,UTA,W,124,97,46,93,.495,12,32,.375,20,23,.870,15,55,27,8,8,18,15,35,94,.372,11,38,.289,16,19,.842,12,43,24,11,4,18,15
2024,ATL,59,2024-02-29,0,BRK,L,97,124,37,86,.430,8,28,.286,15,21,.714,8,39,18,3,8,14,14,46,90,.511,22,46,.478,10,13,.769,8,43,30,6,4,10,16
2024,ATL,60,2024-03-02,0,BRK,L,102,114,37,87,.425,11,34,.324,17,23,.739,12,42,23,4,4,12,19,41,88,.466,15,32,.469,17,22,.773,12,45,28,6,8,11,19
2024,ATL,61,2024-03-05,0,NYK,W,116,100,44,87,.506,10,31,.323,18,23,.783,13,51,26,6,5,16,13,38,99,.384,16,52,.308,8,11,.727,17,40,27,8,6,12,18
2024,ATL,62,2024-03-06,1,CLE,W,112,101,43,84,.512,11,30,.367,15,20,.750,8,42,27,7,3,11,17,39,89,.438,10,44,.227,13,17,.765,10,42,27,5,4,15,16
2024,ATL,63,2024-03-08,0,MEM,W,99,92,37,87,.425,15,35,.429,10,15,.667,15,47,21,9,5,16,20,30,74,.405,10,26,.385,22,30,.733,10,38,21,10,11,13,19
2024,ATL,64,2024-03-10,1,NOP,L,103,116,38,91,.418,17,46,.370,10,13,.769,12,41,28,6,4,11,15,43,75,.573,14,27,.519,16,22,.727,4,43,32,8,7,12,10
2024,ATL,65,2024-03-13,0,POR,L,102,106,38,88,.432,14,39,.359,12,18,.667,13,38,19,11,6,15,23,38,82,.463,10,30,.333,20,24,.833,12,49,24,7,5,18,21
2024,ATL,66,2024-03-15,0,UTA,L,122,124,41,92,.446,20,39,.513,20,27,.741,11,41,32,7,5,9,16,46,90,.511,14,36,.389,18,20,.900,10,49,24,6,7,13,21
2024,ATL,67,2024-03-17,0,LAC,W,110,93,41,84,.488,17,34,.500,11,12,.917,10,45,32,10,7,16,22,28,74,.378,11,36,.306,26,29,.897,10,40,17,10,5,16,13
2024,ATL,68,2024-03-18,0,LAL,L,105,136,42,98,.429,9,41,.220,12,15,.800,12,42,32,8,5,9,14,52,90,.578,15,36,.417,17,20,.850,4,48,39,6,4,9,15
2024,ATL,69,2024-03-21,0,PHO,L,115,128,40,91,.440,12,35,.343,23,29,.793,12,36,27,11,3,11,23,41,74,.554,22,41,.537,24,27,.889,7,38,28,4,11,17,19
2024,ATL,70,2024-03-23,1,CHO,W,132,91,50,90,.556,20,42,.476,12,14,.857,11,43,40,9,5,9,14,35,84,.417,11,39,.282,10,14,.714,11,39,25,3,4,15,9
2024,ATL,71,2024-03-25,1,BOS,W,120,118,46,87,.529,18,36,.500,10,17,.588,15,44,30,5,3,13,18,47,95,.495,11,38,.289,13,19,.684,12,38,21,7,8,9,16
2024,ATL,72,2024-03-27,1,POR,W,120,106,44,85,.518,16,41,.390,16,20,.800,8,41,23,12,9,17,17,43,85,.506,14,31,.452,6,10,.600,6,33,35,8,2,19,18
2024,ATL,73,2024-03-28,1,BOS,W,123,122,51,104,.490,15,44,.341,6,10,.600,17,53,24,5,5,11,17,45,94,.479,14,36,.389,18,21,.857,9,43,28,7,6,12,15
2024,ATL,74,2024-03-30,1,MIL,L,113,122,42,92,.457,14,35,.400,15,18,.833,9,39,24,5,3,11,26,43,78,.551,8,28,.286,28,35,.800,6,40,27,7,5,12,18
2024,ATL,75,2024-04-01,0,CHI,W,113,101,41,82,.500,19,40,.475,12,18,.667,8,45,29,4,5,15,21,37,94,.394,7,28,.250,20,24,.833,16,51,17,8,2,8,17
