Season,Team,Name,Rk,G,Date,Age,Tm,Home,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025,TOR,Gradey Dick,1,1.0,2024-10-23,20-338,TOR,1,CLE,L (-30),1,29:16,5,13,0.385,2,6,0.333,4,4,1.0,1,1,2,1,0,2,0,0,16,12.0,-9
2025,TOR,Gradey Dick,2,2.0,2024-10-25,20-340,TOR,1,PHI,W (+8),1,23:58,3,9,0.333,1,4,0.25,1,1,1.0,0,1,1,0,1,0,2,6,8,-0.2,4
2025,TOR,Gradey Dick,3,3.0,2024-10-26,20-341,TOR,0,MIN,L (-11),1,29:31,9,16,0.563,4,9,0.444,3,3,1.0,0,1,1,2,1,0,1,2,25,18.3,-13
2025,TOR,Gradey Dick,4,4.0,2024-10-28,20-343,TOR,1,DEN,L (-2),1,36:39,5,13,0.385,2,7,0.286,3,3,1.0,1,0,1,4,0,1,0,2,15,11.3,-4
2025,TOR,Gradey Dick,5,5.0,2024-10-30,20-345,TOR,0,CHO,L (-5),1,35:38,11,17,0.647,2,6,0.333,6,8,0.75,1,1,2,1,3,0,3,6,30,21.0,12
2025,TOR,Gradey Dick,6,6.0,2024-11-01,20-347,TOR,1,LAL,L (-6),1,31:35,13,26,0.5,5,11,0.455,0,0,,2,5,7,3,1,0,1,2,31,22.2,-4
2025,TOR,Gradey Dick,7,7.0,2024-11-02,20-348,TOR,1,SAC,W (+3),1,37:32,6,17,0.353,3,8,0.375,7,7,1.0,0,5,5,2,2,0,3,0,22,14.4,-3
2025,TOR,Gradey Dick,8,8.0,2024-11-04,20-350,TOR,0,DEN,L (-2),1,35:41,10,20,0.5,4,9,0.444,2,2,1.0,0,2,2,5,3,2,4,0,26,20.5,1
2025,TOR,Gradey Dick,9,9.0,2024-11-06,20-352,TOR,0,SAC,L (-15),1,23:53,3,10,0.3,0,5,0.0,1,2,0.5,1,3,4,2,0,0,0,4,7,2.2,-22
2025,TOR,Gradey Dick,10,10.0,2024-11-09,20-355,TOR,0,LAC,L (-2),1,34:01,5,12,0.417,2,5,0.4,3,4,0.75,0,0,0,2,1,0,0,1,15,10.2,13
2025,TOR,Gradey Dick,11,11.0,2024-11-10,20-356,TOR,0,LAL,L (-20),1,32:48,5,10,0.5,2,3,0.667,2,2,1.0,0,1,1,3,0,0,1,2,14,9.6,-12
2025,TOR,Gradey Dick,12,12.0,2024-11-12,20-358,TOR,0,MIL,L (-14),1,38:01,7,20,0.35,4,10,0.4,14,16,0.875,1,4,5,3,1,0,3,1,32,21.6,-2
